file|string|en|es|zh|es_php|zh_php
tool_iomadmerge|finishtime|Finished merging at {$a}|Finalizada la fusión en {$a}|合并完成于 {$a}|$string['finishtime'] = 'Finalizada la fusión en {$a}';|$string['finishtime'] = '合并完成于 {$a}';
tool_iomadmerge|form_description|<p>You may search for users here if you don't know the user's username/id number. Otherwise you may expand the form to enter that information directly.  Please see help on fields for more information</p>|<p>Puede buscar usuarios aquí si no conoce el nombre de usuario o el número de identificación del usuario. De lo contrario, puede expandir el formulario para introducir esa información directamente. Consulte la ayuda sobre campos para obtener más información.</p>|<p>如果您不知道用户的用户名/ID号，可以在这里搜索用户。或者，您可以展开表单直接输入信息。更多信息请参阅字段帮助。</p>|$string['form_description'] = '<p>Puede buscar usuarios aquí si no conoce el nombre de usuario o el número de identificación del usuario. De lo contrario, puede expandir el formulario para introducir esa información directamente. Consulte la ayuda sobre campos para obtener más información.</p>';|$string['form_description'] = '<p>如果您不知道用户的用户名/ID号，可以在这里搜索用户。或者，您可以展开表单直接输入信息。更多信息请参阅字段帮助。</p>';
tool_iomadmerge|form_header|Find users to merge|Encuentra usuarios para fusionar|查找要合并的用户|$string['form_header'] = 'Encuentra usuarios para fusionar';|$string['form_header'] = '查找要合并的用户';
tool_iomadmerge|header|Merge two users into a single account|Fusionar dos usuarios en una sola cuenta|将两个用户合并到一个帐户中|$string['header'] = 'Fusionar dos usuarios en una sola cuenta';|$string['header'] = '将两个用户合并到一个帐户中';
tool_iomadmerge|header_help|<p>Given a user to be deleted and a user to keep, this will merge the user data associated with the former user into the latter user. Note that both users must already exist and no accounts will actually be deleted. That process is left to the administrator to do manually.</p><p><strong>Only do this if you know what you are doing as it is not reversable!</strong></p>|<p>Dado un usuario que se va a eliminar y otro que se va a conservar, esto fusionará los datos del primer usuario con los del segundo. Tenga en cuenta que ambos usuarios deben existir previamente y que no se eliminará ninguna cuenta. Ese proceso lo realiza manualmente el administrador.</p><p><strong>¡Solo haga esto si sabe lo que está haciendo, ya que no es reversible!</strong></p>|<p>假设您指定一个要删除的用户和一个要保留的用户，此操作会将前者关联的用户数据合并到后者中。请注意，这两个用户必须已存在，并且不会实际删除任何帐户。帐户删除操作由管理员手动执行。</p><p><strong>请仅在您清楚自己在做什么的情况下执行此操作，因为此操作不可逆！</strong></p>|$string['header_help'] = '<p>Dado un usuario que se va a eliminar y otro que se va a conservar, esto fusionará los datos del primer usuario con los del segundo. Tenga en cuenta que ambos usuarios deben existir previamente y que no se eliminará ninguna cuenta. Ese proceso lo realiza manualmente el administrador.</p><p><strong>¡Solo haga esto si sabe lo que está haciendo, ya que no es reversible!</strong></p>';|$string['header_help'] = '<p>假设您指定一个要删除的用户和一个要保留的用户，此操作会将前者关联的用户数据合并到后者中。请注意，这两个用户必须已存在，并且不会实际删除任何帐户。帐户删除操作由管理员手动执行。</p><p><strong>请仅在您清楚自己在做什么的情况下执行此操作，因为此操作不可逆！</strong></p>';
tool_iomadmerge|into|into|en|进入|$string['into'] = 'en';|$string['into'] = '进入';
tool_iomadmerge|invalid_option|Invalid form option|Opción de formulario no válida|无效的表单选项|$string['invalid_option'] = 'Opción de formulario no válida';|$string['invalid_option'] = '无效的表单选项';
tool_iomadmerge|invaliduser|Invalid user|Usuario no válido|无效用户|$string['invaliduser'] = 'Usuario no válido';|$string['invaliduser'] = '无效用户';
tool_iomadmerge|logid|For further reference, these results are recorded in the log id {$a}.|Para mayor referencia, estos resultados se registran en el archivo de registro con ID {$a}.|为了方便参考，这些结果记录在日志 ID 为 {$a} 的日志中。|$string['logid'] = 'Para mayor referencia, estos resultados se registran en el archivo de registro con ID {$a}.';|$string['logid'] = '为了方便参考，这些结果记录在日志 ID 为 {$a} 的日志中。';
tool_iomadmerge|logko|Some error occurred:|Se ha producido un error:|发生错误：|$string['logko'] = 'Se ha producido un error:';|$string['logko'] = '发生错误：';
tool_iomadmerge|loglist|All these records are merging actions done, showing if they went ok:|Todos estos registros son acciones de fusión realizadas, que muestran si se llevaron a cabo correctamente:|所有这些记录都是已完成操作的合并记录，显示操作是否成功：|$string['loglist'] = 'Todos estos registros son acciones de fusión realizadas, que muestran si se llevaron a cabo correctamente:';|$string['loglist'] = '所有这些记录都是已完成操作的合并记录，显示操作是否成功：';
tool_iomadmerge|logok|Here are the queries that have been sent to the DB:|Estas son las consultas que se han enviado a la base de datos:|以下是已发送到数据库的查询：|$string['logok'] = 'Estas son las consultas que se han enviado a la base de datos:';|$string['logok'] = '以下是已发送到数据库的查询：';
tool_iomadmerge|mergedbyuseridonlog|Merged by|Fusionado por|合并|$string['mergedbyuseridonlog'] = 'Fusionado por';|$string['mergedbyuseridonlog'] = '合并';
tool_iomadmerge|iomadmerge|Merge user accounts|Combinar cuentas de usuario|合并用户帐户|$string['iomadmerge'] = 'Combinar cuentas de usuario';|$string['iomadmerge'] = '合并用户帐户';
tool_iomadmerge|iomadmergeadvanced|<strong>Direct user input</strong>|<strong>Entrada directa del usuario</strong>|用户直接输入|$string['iomadmergeadvanced'] = '<strong>Entrada directa del usuario</strong>';|$string['iomadmergeadvanced'] = '用户直接输入';
tool_iomadmerge|iomadmergeadvanced_help|Here you can enter the below fields if you know exactly what users that you want to merge.<br /><br /> Click the "search" button in order to verify/confirm that the input entered are in fact users.|Aquí puede ingresar los campos a continuación si sabe exactamente qué usuarios desea fusionar.<br /><br /> Haga clic en el botón "buscar" para verificar/confirmar que los datos ingresados ​​son efectivamente usuarios.|如果您确切知道要合并哪些用户，可以在此处输入以下字段。<br /><br />点击“搜索”按钮，以验证/确认输入的内容确实是用户。|$string['iomadmergeadvanced_help'] = 'Aquí puede ingresar los campos a continuación si sabe exactamente qué usuarios desea fusionar.<br /><br /> Haga clic en el botón "buscar" para verificar/confirmar que los datos ingresados ​​son efectivamente usuarios.';|$string['iomadmergeadvanced_help'] = '如果您确切知道要合并哪些用户，可以在此处输入以下字段。<br /><br />点击“搜索”按钮，以验证/确认输入的内容确实是用户。';
tool_iomadmerge|iomadmerge_confirm|After confirming the merge process will start. <br /><strong>This will not be reversible!</strong> Are you sure you want to continue?|Tras la confirmación, comenzará el proceso de fusión. <br /><strong>¡Esto no será reversible!</strong> ¿Está seguro de que desea continuar?|确认后，合并过程将开始。<br /><strong>此操作不可逆！</strong>您确定要继续吗？|$string['iomadmerge_confirm'] = 'Tras la confirmación, comenzará el proceso de fusión. <br /><strong>¡Esto no será reversible!</strong> ¿Está seguro de que desea continuar?';|$string['iomadmerge_confirm'] = '确认后，合并过程将开始。<br /><strong>此操作不可逆！</strong>您确定要继续吗？';
tool_iomadmerge|iomadmerge:iomadmerge|Merge user accounts|Combinar cuentas de usuario|合并用户帐户|$string['iomadmerge:iomadmerge'] = 'Combinar cuentas de usuario';|$string['iomadmerge:iomadmerge'] = '合并用户帐户';
tool_iomadmerge|iomadmerge:view|Merge User Accounts|Combinar cuentas de usuario|合并用户帐户|$string['iomadmerge:view'] = 'Combinar cuentas de usuario';|$string['iomadmerge:view'] = '合并用户帐户';
tool_iomadmerge|merging|Merged|Fusionado|合并|$string['merging'] = 'Fusionado';|$string['merging'] = '合并';
tool_iomadmerge|newuser|User to keep|El usuario debe mantener|用户保留|$string['newuser'] = 'El usuario debe mantener';|$string['newuser'] = '用户保留';
tool_iomadmerge|newuserid|User ID to be kept|Se conservará el ID de usuario.|需保留的用户ID|$string['newuserid'] = 'Se conservará el ID de usuario.';|$string['newuserid'] = '需保留的用户ID';
tool_iomadmerge|newuseridonlog|User kept|El usuario mantuvo|用户保留|$string['newuseridonlog'] = 'El usuario mantuvo';|$string['newuseridonlog'] = '用户保留';
tool_iomadmerge|nologs|There is no merging logs yet. Good for you!|Todavía no hay registros de fusión. ¡Bien por ti!|目前还没有合并日志。太好了！|$string['nologs'] = 'Todavía no hay registros de fusión. ¡Bien por ti!';|$string['nologs'] = '目前还没有合并日志。太好了！';
tool_iomadmerge|nomergedby|Not recorded|No registrado|未记录|$string['nomergedby'] = 'No registrado';|$string['nomergedby'] = '未记录';
tool_iomadmerge|no_saveselection|You did not select either an old or new user.|No seleccionaste ni un usuario antiguo ni uno nuevo.|您没有选择旧用户或新用户。|$string['no_saveselection'] = 'No seleccionaste ni un usuario antiguo ni uno nuevo.';|$string['no_saveselection'] = '您没有选择旧用户或新用户。';
tool_iomadmerge|olduser|User to remove|El usuario debe eliminar|用户移除|$string['olduser'] = 'El usuario debe eliminar';|$string['olduser'] = '用户移除';
tool_iomadmerge|olduserid|User ID to be removed|Se eliminará el ID de usuario.|待移除的用户ID|$string['olduserid'] = 'Se eliminará el ID de usuario.';|$string['olduserid'] = '待移除的用户ID';
tool_iomadmerge|olduseridonlog|User removed|Usuario eliminado|用户已移除|$string['olduseridonlog'] = 'Usuario eliminado';|$string['olduseridonlog'] = '用户已移除';
tool_iomadmerge|pluginname|IOMAD Merge user accounts|IOMAD Combinar cuentas de usuario|IOMAD 合并用户帐户|$string['pluginname'] = 'IOMAD Combinar cuentas de usuario';|$string['pluginname'] = 'IOMAD 合并用户帐户';
tool_iomadmerge|privacy:metadata|The IOMAD Merge User Accounts plugin does not store any personal data.|El plugin IOMAD Merge User Accounts no almacena ningún dato personal.|IOMAD 合并用户帐户插件不会存储任何个人数据。|$string['privacy:metadata'] = 'El plugin IOMAD Merge User Accounts no almacena ningún dato personal.';|$string['privacy:metadata'] = 'IOMAD 合并用户帐户插件不会存储任何个人数据。';
tool_iomadmerge|qa_action_delete_fromid|Keep attempts from the new user|Conservar los intentos del nuevo usuario|阻止新用户的尝试|$string['qa_action_delete_fromid'] = 'Conservar los intentos del nuevo usuario';|$string['qa_action_delete_fromid'] = '阻止新用户的尝试';
tool_iomadmerge|qa_action_delete_toid|Keep attempts from the old user|Conservar los intentos del usuario anterior.|保留来自老用户的尝试|$string['qa_action_delete_toid'] = 'Conservar los intentos del usuario anterior.';|$string['qa_action_delete_toid'] = '保留来自老用户的尝试';
tool_iomadmerge|qa_action_remain|Do nothing: do not merge nor delete|No hagas nada: no fusiones ni elimines.|什么都不做：既不合并也不删除|$string['qa_action_remain'] = 'No hagas nada: no fusiones ni elimines.';|$string['qa_action_remain'] = '什么都不做：既不合并也不删除';
tool_iomadmerge|qa_action_remain_log|User data from table <strong>{$a}</strong> are not updated.|Los datos de usuario de la tabla <strong>{$a}</strong> no se actualizan.|表 <strong>{$a}</strong> 中的用户数据未更新。|$string['qa_action_remain_log'] = 'Los datos de usuario de la tabla <strong>{$a}</strong> no se actualizan.';|$string['qa_action_remain_log'] = '表 <strong>{$a}</strong> 中的用户数据未更新。';
tool_iomadmerge|qa_action_renumber|Merge attempts from both users and renumber|Intentos de fusión de ambos usuarios y renumeración|合并来自两个用户的尝试并重新编号|$string['qa_action_renumber'] = 'Intentos de fusión de ambos usuarios y renumeración';|$string['qa_action_renumber'] = '合并来自两个用户的尝试并重新编号';
tool_iomadmerge|qa_chosen_action|Active option for quiz attempts: {$a}.|Opción activa para intentos de cuestionario: {$a}.|测验尝试的有效选项：{$a}。|$string['qa_chosen_action'] = 'Opción activa para intentos de cuestionario: {$a}.';|$string['qa_chosen_action'] = '测验尝试的有效选项：{$a}。';
tool_iomadmerge|qa_grades|Grades recalculated for quizzes: {$a}.|Calificaciones recalculadas para los cuestionarios: {$a}.|测验成绩重新计算：{$a}。|$string['qa_grades'] = 'Calificaciones recalculadas para los cuestionarios: {$a}.';|$string['qa_grades'] = '测验成绩重新计算：{$a}。';
tool_iomadmerge|quizattemptsaction|How to resolve quiz attempts|Cómo resolver los intentos del cuestionario|如何解决测验尝试|$string['quizattemptsaction'] = 'Cómo resolver los intentos del cuestionario';|$string['quizattemptsaction'] = '如何解决测验尝试';
tool_iomadmerge|quizattemptsaction_desc|When merging quiz attempts there may exist three cases: <ol><li>Only the old user has quiz attempts. All attemps will appear as if they were made by the new user.</li><li>Only the new user has quiz attempts. All is correct and nothing is done.</li><li>Both users have attempts for the same quiz. <strong>You have to choose what to do in this case of conflict.</strong>. You are required to choose one of the following actions: <ul> <li><strong>{$a->renumber}</strong>. Attempts from the old user are merged with the ones of the new user and renumbered by the time they were started.</li><li><strong>{$a->delete_fromid}</strong>. Attempts from the old user are removed. Attempts from the new user are kept, since this option considers them as the most important.</li><li><strong>{$a->delete_toid}</strong>. Attempts from the new user are removed. Attempts from the old user are kept, since this option considers them as the most important.</li><li><strong>{$a->remain}</strong> (by default). Attempts are not merged nor deleted, remaining related to the user who made them. This is the most secure action, but merging users from user A to user B or B to A may produce different quiz grades.</li></ul> </li></ol>|Al fusionar intentos de cuestionario, pueden existir tres casos: <ol><li>Solo el usuario antiguo tiene intentos de cuestionario. Todos los intentos aparecerán como si los hubiera realizado el nuevo usuario.</li><li>Solo el nuevo usuario tiene intentos de cuestionario. Todo es correcto y no se hace nada.</li><li>Ambos usuarios tienen intentos para el mismo cuestionario. <strong>Debe elegir qué hacer en este caso de conflicto.</strong>. Debe elegir una de las siguientes acciones: <ul> <li><strong>{$a->renumber}</strong>. Los intentos del usuario antiguo se fusionan con los del nuevo usuario y se renumeran según el momento en que se iniciaron.</li><li><strong>{$a->delete_fromid}</strong>. Los intentos del usuario antiguo se eliminan. Los intentos del nuevo usuario se conservan, ya que esta opción los considera los más importantes.</li><li><strong>{$a->delete_toid}</strong>. Los intentos del nuevo usuario se eliminan. Los intentos del usuario anterior se conservan, ya que esta opción los considera los más importantes.</li><li><strong>{$a->remain}</strong> (por defecto). Los intentos no se fusionan ni se eliminan, permaneciendo relacionados con el usuario que los realizó. Esta es la acción más segura, pero fusionar usuarios del usuario A al usuario B o del B al A puede producir calificaciones diferentes en el cuestionario.</li></ul> </li></ol>|合并测验尝试时，可能出现以下三种情况：<ol><li>只有旧用户有测验尝试记录。所有尝试记录将显示为新用户提交的。</li><li>只有新用户有测验尝试记录。一切正常，无需进行任何操作。</li><li>两个用户都对同一测验有尝试记录。<strong>您必须选择如何处理这种冲突情况。</strong>。您需要选择以下操作之一：<ul><li><strong>{$a->renumber}</strong>。旧用户的尝试记录将与新用户的尝试记录合并，并按开始时间重新编号。</li><li><strong>{$a->delete_fromid}</strong>。旧用户的尝试记录将被删除。新用户的尝试记录将被保留，因为此选项认为它们最为重要。</li><li><strong>{$a->delete_toid}</strong>。新用户的尝试将被移除。旧用户的尝试将被保留，因为此选项认为它们最为重要。</li><li><strong>{$a->remain}</strong>（默认）。尝试不会被合并或删除，而是保留与做出尝试的用户相关的记录。这是最安全的操作，但将用户从用户 A 合并到用户 B 或从用户 B 合并到用户 A 可能会导致不同的测验成绩。</li></ul> </li></ol>|$string['quizattemptsaction_desc'] = 'Al fusionar intentos de cuestionario, pueden existir tres casos: <ol><li>Solo el usuario antiguo tiene intentos de cuestionario. Todos los intentos aparecerán como si los hubiera realizado el nuevo usuario.</li><li>Solo el nuevo usuario tiene intentos de cuestionario. Todo es correcto y no se hace nada.</li><li>Ambos usuarios tienen intentos para el mismo cuestionario. <strong>Debe elegir qué hacer en este caso de conflicto.</strong>. Debe elegir una de las siguientes acciones: <ul> <li><strong>{$a->renumber}</strong>. Los intentos del usuario antiguo se fusionan con los del nuevo usuario y se renumeran según el momento en que se iniciaron.</li><li><strong>{$a->delete_fromid}</strong>. Los intentos del usuario antiguo se eliminan. Los intentos del nuevo usuario se conservan, ya que esta opción los considera los más importantes.</li><li><strong>{$a->delete_toid}</strong>. Los intentos del nuevo usuario se eliminan. Los intentos del usuario anterior se conservan, ya que esta opción los considera los más importantes.</li><li><strong>{$a->remain}</strong> (por defecto). Los intentos no se fusionan ni se eliminan, permaneciendo relacionados con el usuario que los realizó. Esta es la acción más segura, pero fusionar usuarios del usuario A al usuario B o del B al A puede producir calificaciones diferentes en el cuestionario.</li></ul> </li></ol>';|$string['quizattemptsaction_desc'] = '合并测验尝试时，可能出现以下三种情况：<ol><li>只有旧用户有测验尝试记录。所有尝试记录将显示为新用户提交的。</li><li>只有新用户有测验尝试记录。一切正常，无需进行任何操作。</li><li>两个用户都对同一测验有尝试记录。<strong>您必须选择如何处理这种冲突情况。</strong>。您需要选择以下操作之一：<ul><li><strong>{$a->renumber}</strong>。旧用户的尝试记录将与新用户的尝试记录合并，并按开始时间重新编号。</li><li><strong>{$a->delete_fromid}</strong>。旧用户的尝试记录将被删除。新用户的尝试记录将被保留，因为此选项认为它们最为重要。</li><li><strong>{$a->delete_toid}</strong>。新用户的尝试将被移除。旧用户的尝试将被保留，因为此选项认为它们最为重要。</li><li><strong>{$a->remain}</strong>（默认）。尝试不会被合并或删除，而是保留与做出尝试的用户相关的记录。这是最安全的操作，但将用户从用户 A 合并到用户 B 或从用户 B 合并到用户 A 可能会导致不同的测验成绩。</li></ul> </li></ol>';
tool_iomadmerge|results|Merging results and log|Combinando resultados y registro|合并结果和日志|$string['results'] = 'Combinando resultados y registro';|$string['results'] = '合并结果和日志';
tool_iomadmerge|review_users|Confirm users to merge|Confirmar usuarios para fusionar|确认要合并的用户|$string['review_users'] = 'Confirmar usuarios para fusionar';|$string['review_users'] = '确认要合并的用户';
tool_iomadmerge|saveselection_submit|Save selection|Guardar selección|保存选择|$string['saveselection_submit'] = 'Guardar selección';|$string['saveselection_submit'] = '保存选择';
tool_iomadmerge|searchuser|Search for User|Buscar usuario|搜索用户|$string['searchuser'] = 'Buscar usuario';|$string['searchuser'] = '搜索用户';
tool_iomadmerge|searchuser_help|Enter a username, first/last name, email address or user id to search for potential users. You may also specify if you only want to search through a particular field.|Introduce un nombre de usuario, nombre y apellido, dirección de correo electrónico o ID de usuario para buscar usuarios potenciales. También puedes especificar si solo deseas buscar en un campo concreto.|输入用户名、姓名、电子邮件地址或用户 ID 以搜索潜在用户。您还可以指定是否仅按特定字段搜索。|$string['searchuser_help'] = 'Introduce un nombre de usuario, nombre y apellido, dirección de correo electrónico o ID de usuario para buscar usuarios potenciales. También puedes especificar si solo deseas buscar en un campo concreto.';|$string['searchuser_help'] = '输入用户名、姓名、电子邮件地址或用户 ID 以搜索潜在用户。您还可以指定是否仅按特定字段搜索。';
tool_iomadmerge|starttime|Started merging at {$a}|Se inició la fusión en {$a}|开始合并 {$a}|$string['starttime'] = 'Se inició la fusión en {$a}';|$string['starttime'] = '开始合并 {$a}';
tool_iomadmerge|suspenduser_setting|Suspend old user|Suspender usuario antiguo|暂停老用户的使用权限|$string['suspenduser_setting'] = 'Suspender usuario antiguo';|$string['suspenduser_setting'] = '暂停老用户的使用权限';
